科目编码,科目名称,助记码,科目类别：.名称,余额方向,现金科目,银行科目,现金等价物,数量核算,计量单位.名称,外币核算,币别,期末调汇,辅助核算,辅助核算项目,是否必录,借方现金流量项目：.名称,贷方现金流量项目：.名称,启用状态,不允许手工录入凭证,洗件判定
2221014,地方教育费附加,dfjyffj,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221015,应交资源税,yjzys,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221016,应交土地增值税,yjtdzzs,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221017,应交城市维护建设税,yjcswhjss,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221018,应交房产税,yjfcs,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221019,应交土地使用税,yjtdsys,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221020,应交车船使用税,yjccsys,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2221021,应交消费税,yjxfs,流动负债,贷,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
2231,应付利息,yflx,流动负债,贷,否,否,否,否,,否,,否,否,,,偿还借款利息支付的现金,偿还借款利息支付的现金,启用,否,保留
2232,应付利润,yflr,流动负债,贷,否,否,否,否,,否,,否,否,,,分配利润支付的现金,分配利润支付的现金,启用,否,保留
2241,其他应付款,qtyfk,流动负债,贷,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
2401,递延收益,dysy,流动负债,贷,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
2501,长期借款,cqjk,非流动负债,贷,否,否,否,否,,否,,否,否,,,偿还借款本金支付的现金,取得借款收到的现金,启用,否,保留
2701,长期应付款,cqyfk,非流动负债,贷,否,否,否,否,,否,,否,否,,,偿还借款本金支付的现金,取得借款收到的现金,启用,否,保留
3001,实收资本,sszb,所有者权益,贷,否,否,否,否,,否,,否,否,,,吸收投资者投资收到的现金,吸收投资者投资收到的现金,启用,否,保留
3001001,股东张锋,gdzf,所有者权益,贷,否,否,否,否,,否,,否,否,,,吸收投资者投资收到的现金,吸收投资者投资收到的现金,启用,否,保留
3002,资本公积,zbgj,所有者权益,贷,否,否,否,否,,否,,否,否,,,吸收投资者投资收到的现金,吸收投资者投资收到的现金,启用,否,保留
3002001,资本溢价,zbyj,所有者权益,贷,否,否,否,否,,否,,否,否,,,吸收投资者投资收到的现金,吸收投资者投资收到的现金,启用,否,保留
3002002,接受捐赠非现金资产准备,jsjzfxjzczb,所有者权益,贷,否,否,否,否,,否,,否,否,,,吸收投资者投资收到的现金,吸收投资者投资收到的现金,启用,否,保留
3002006,外币资本折算差额,wbzbzsce,所有者权益,贷,否,否,否,否,,否,,否,否,,,吸收投资者投资收到的现金,吸收投资者投资收到的现金,启用,否,保留
3002007,其他资本公积,qtzbgj,所有者权益,贷,否,否,否,否,,否,,否,否,,,吸收投资者投资收到的现金,吸收投资者投资收到的现金,启用,否,保留
3101,盈余公积,yygj,所有者权益,贷,否,否,否,否,,否,,否,否,,,吸收投资者投资收到的现金,吸收投资者投资收到的现金,启用,否,保留
3101001,法定盈余公积,fdyygj,所有者权益,贷,否,否,否,否,,否,,否,否,,,吸收投资者投资收到的现金,吸收投资者投资收到的现金,启用,否,保留
3101002,任意盈余公积,ryyygj,所有者权益,贷,否,否,否,否,,否,,否,否,,,吸收投资者投资收到的现金,吸收投资者投资收到的现金,启用,否,保留
3101003,法定公益金,fdgyj,所有者权益,贷,否,否,否,否,,否,,否,否,,,吸收投资者投资收到的现金,吸收投资者投资收到的现金,启用,否,保留
3103,本年利润,bnlr,所有者权益,贷,否,否,否,否,,否,,否,否,,,吸收投资者投资收到的现金,吸收投资者投资收到的现金,启用,否,保留
3104,利润分配,lrfp,所有者权益,贷,否,否,否,否,,否,,否,否,,,分配利润支付的现金,分配利润支付的现金,启用,否,保留
3104001,其他转入,qtzr,所有者权益,借,否,否,否,否,,否,,否,否,,,分配利润支付的现金,分配利润支付的现金,启用,否,保留
3104002,提取法定盈余公积,tqfdyygj,所有者权益,借,否,否,否,否,,否,,否,否,,,分配利润支付的现金,分配利润支付的现金,启用,否,保留
3104003,提取法定公益金,tqfdgyj,所有者权益,借,否,否,否,否,,否,,否,否,,,分配利润支付的现金,分配利润支付的现金,启用,否,保留
3104009,提取任意盈余公积,tqryyygj,所有者权益,借,否,否,否,否,,否,,否,否,,,分配利润支付的现金,分配利润支付的现金,启用,否,保留
3104010,应付利润,yflr,所有者权益,借,否,否,否,否,,否,,否,否,,,分配利润支付的现金,分配利润支付的现金,启用,否,保留
