科目编码,科目名称,English,会计要素,余额方向,上级编码,层级,现金科目,银行科目,现金等价物,期末调汇,外币核算类型,数量核算,系统预置,预置核算维度
6601.01.08,工会经费,,期间费用,借,6601.01,3,否,否,否,否,不核算外币,否,是,部门(必录)
6601.01.09,离职补偿金,,期间费用,借,6601.01,3,否,否,否,否,不核算外币,否,是,部门(必录)
6601.01.10,其他,,期间费用,借,6601.01,3,否,否,否,否,不核算外币,否,是,部门(必录)
6601.02,广告费,Advertising Expense,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6601.03,业务宣传费,Business Promotion Expense,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6601.04,业务招待费,,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6601.05,固定资产折旧,,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6601.06,无形资产摊销,,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6601.07,长期待摊费用,,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6601.08,使用权资产摊销,,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6601.09,党组织工作经费,,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6601.10,佣金及手续费,,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6601.11,咨询顾问费,,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6601.12,差旅费,,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6601.13,办公费,,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6601.14,通讯费,,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6601.15,水费,,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6601.16,电费,,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6601.17,租赁费,,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6601.18,物业管理费,,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6601.19,劳务费,,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6601.20,维修费,,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6601.21,其他,,期间费用,借,6601,2,否,否,否,否,不核算外币,否,是,部门(必录)
6602,管理费用,Administrative Expenses,期间费用,借,,1,否,否,否,否,不核算外币,否,是,
6602.01.01,工资,Salary,期间费用,借,6602.01,3,否,否,否,否,不核算外币,否,是,部门(必录)
